ALDER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7 years,685.0,520.0,505.0,533.0,646.0,798.0,920.0,1155.0,1692.0,1969.0,2063.0,2145.0,2182.0,2052.0,1934.0,2135.0,1779.0
70 years,786.0,858.0,929.0,1031.0,985.0,1060.0,1134.0,1201.0,1400.0,1444.0,1585.0,1726.0,1757.0,1948.0,1874.0,2354.0,2521.0
71 years,715.0,777.0,831.0,897.0,982.0,950.0,1037.0,1116.0,1172.0,1373.0,1428.0,1554.0,1693.0,1726.0,1925.0,1968.0,2332.0
72 years,715.0,700.0,749.0,811.0,856.0,941.0,922.0,1014.0,1099.0,1156.0,1352.0,1396.0,1528.0,1649.0,1690.0,1987.0,1943.0
73 years,583.0,708.0,681.0,731.0,780.0,831.0,909.0,888.0,993.0,1076.0,1118.0,1323.0,1372.0,1491.0,1603.0,1771.0,1968.0
74 years,572.0,566.0,693.0,651.0,687.0,750.0,800.0,888.0,859.0,962.0,1042.0,1088.0,1277.0,1331.0,1440.0,1662.0,1757.0
75 years,569.0,562.0,543.0,649.0,615.0,663.0,721.0,775.0,857.0,844.0,928.0,1021.0,1050.0,1226.0,1292.0,1458.0,1624.0
76 years,488.0,547.0,537.0,521.0,607.0,571.0,637.0,691.0,750.0,832.0,820.0,895.0,984.0,1002.0,1184.0,1319.0,1436.0
77 years,537.0,476.0,524.0,501.0,480.0,578.0,551.0,603.0,667.0,724.0,804.0,790.0,869.0,940.0,968.0,1194.0,1302.0
78 years,392.0,507.0,444.0,482.0,466.0,447.0,545.0,516.0,578.0,635.0,702.0,770.0,758.0,835.0,893.0,959.0,1150.0
79 years,361.0,368.0,472.0,414.0,443.0,428.0,420.0,523.0,501.0,549.0,605.0,672.0,733.0,729.0,800.0,891.0,919.0
8 years,883.0,749.0,586.0,587.0,637.0,733.0,935.0,1151.0,1643.0,2090.0,2150.0,2159.0,2216.0,2231.0,2132.0,2685.0,2258.0
80 years,326.0,339.0,347.0,440.0,375.0,404.0,405.0,399.0,486.0,463.0,521.0,578.0,630.0,700.0,690.0,787.0,855.0
81 years,230.0,302.0,314.0,321.0,394.0,341.0,377.0,384.0,358.0,457.0,439.0,496.0,544.0,582.0,650.0,675.0,748.0
82 years,252.0,211.0,279.0,286.0,286.0,355.0,309.0,350.0,352.0,339.0,426.0,411.0,463.0,508.0,543.0,626.0,633.0
83 years,179.0,240.0,194.0,259.0,261.0,271.0,319.0,290.0,330.0,324.0,319.0,387.0,372.0,427.0,478.0,537.0,595.0
84 years,152.0,161.0,218.0,178.0,235.0,234.0,261.0,292.0,265.0,295.0,297.0,298.0,356.0,344.0,396.0,473.0,495.0
85 years,129.0,140.0,148.0,206.0,156.0,217.0,199.0,223.0,267.0,243.0,267.0,266.0,266.0,325.0,308.0,379.0,440.0
86 years,108.0,118.0,126.0,133.0,178.0,143.0,190.0,176.0,205.0,245.0,224.0,232.0,245.0,240.0,303.0,301.0,357.0
87 years,98.0,97.0,106.0,114.0,120.0,164.0,124.0,171.0,159.0,185.0,219.0,201.0,207.0,215.0,208.0,276.0,269.0
88 years,53.0,92.0,83.0,92.0,96.0,110.0,149.0,114.0,156.0,146.0,162.0,193.0,178.0,183.0,196.0,189.0,249.0
89 years,43.0,40.0,82.0,75.0,80.0,85.0,94.0,132.0,98.0,126.0,132.0,138.0,164.0,155.0,155.0,175.0,168.0
9 years,1189.0,930.0,811.0,649.0,657.0,716.0,880.0,1146.0,1561.0,2012.0,2274.0,2262.0,2234.0,2292.0,2281.0,2835.0,2849.0
90 years,40.0,36.0,34.0,63.0,61.0,71.0,74.0,85.0,114.0,88.0,109.0,109.0,120.0,140.0,130.0,138.0,157.0
91 years,28.0,36.0,30.0,28.0,47.0,47.0,62.0,65.0,75.0,97.0,73.0,90.0,93.0,99.0,121.0,113.0,118.0
92 years,31.0,25.0,31.0,23.0,21.0,45.0,39.0,56.0,51.0,65.0,79.0,65.0,76.0,72.0,83.0,108.0,98.0
93 years,26.0,25.0,21.0,29.0,19.0,16.0,41.0,30.0,41.0,47.0,52.0,66.0,49.0,59.0,54.0,61.0,90.0
94 years,18.0,19.0,22.0,18.0,19.0,17.0,10.0,38.0,23.0,32.0,38.0,45.0,50.0,34.0,47.0,51.0,50.0
95 years,14.0,15.0,17.0,18.0,13.0,18.0,13.0,8.0,30.0,20.0,24.0,31.0,38.0,45.0,28.0,36.0,45.0
96 years,8.0,10.0,12.0,12.0,13.0,12.0,14.0,10.0,6.0,25.0,17.0,18.0,25.0,30.0,31.0,20.0,31.0
97 years,7.0,7.0,6.0,5.0,7.0,11.0,10.0,10.0,7.0,6.0,24.0,13.0,11.0,18.0,18.0,28.0,19.0
98 years,2.0,6.0,5.0,3.0,4.0,7.0,11.0,7.0,8.0,5.0,4.0,20.0,11.0,8.0,14.0,15.0,21.0
99 years,2.0,1.0,4.0,3.0,3.0,3.0,6.0,10.0,5.0,5.0,5.0,3.0,15.0,10.0,6.0,11.0,9.0
"Age, total",237027.0,245306.0,251318.0,257424.0,261597.0,266666.0,276230.0,290333.0,314484.0,332874.0,343805.0,351424.0,356195.0,357466.0,365011.0,405366.0,422537.0
